"","Est.","CI(95%).Lower","CI(95%).Upper"
"276",9.903,8.463,11.34
"277",14.7,13.4,16
"278",6.301,4.692,7.909
"279",5.005,3.616,6.393
"280",1.184,-1.143,3.511
"281",8.843,6.817,10.87
"282",3.767,1.354,6.181
"283",16.86,15.4,18.31
"284",15.69,14.08,17.3
"285",13.53,12.08,14.98
"286",4.3,1.841,6.759
"287",9.9,8.305,11.5
"288",1.422,-0.9686,3.813
"289",13.31,11.57,15.04
"290",38.37,36.67,40.06
"291",18.85,17.11,20.6
"292",20.66,19.13,22.19
"293",5.033,3.185,6.88
"294",15.54,13.95,17.13
"295",6.301,4.857,7.746
"296",9.899,8.561,11.24
"297",1.663,-0.7326,4.058
"298",15.1,13.78,16.43
"299",6.223,4.654,7.792
"300",7.899,6.399,9.399
"301",1.071,-1.292,3.434
"302",7.892,5.948,9.835
"303",10.81,9.331,12.28
"304",9.879,8.131,11.63
"305",12.46,10.86,14.07
"306",17.75,16.17,19.33
"307",9.898,8.373,11.42
"308",7.778,6.122,9.435
"309",6.303,4.372,8.233
"310",8.042,6.52,9.564
"311",4.126,1.679,6.574
"312",15.72,14.01,17.43
"313",11.34,9.835,12.85
"314",7.893,6.254,9.532
"315",3.89,1.497,6.283
"316",6.298,4.694,7.903
